Price,Bedrooms,Is_premium_subarea,Is_estate,Price_log,Group_median,Group_std,Price_zscore_in_group,Locality_encoded,Area_encoded,Property_type_encoded
1200000,3,0,0,13.997832948091215,1000000.0,471780.70203466876,0.42392577555091054,14.053404235564333,13.761359647409968,13.961012994652792
800000,3,0,0,13.592368256649284,700000.0,336766.48457767285,0.296941663079705,13.688183243122786,13.761359647409968,13.961012994652792
850000,2,0,0,13.652992804936396,775000.0,160228.0628912014,0.46808279802350694,14.02687238485497,13.75053356952986,13.942958244723336
450000,1,0,1,13.017005083966255,450000.0,6506194.414999123,0.0,13.989004928991713,13.73828354933841,13.121227134887489
1300000,3,0,0,14.077875591662238,1000000.0,395058.6778605653,0.759380863684974,13.969481809395797,13.75503204010579,13.959739575628085
1500000,3,0,0,14.220976332738882,1500000.0,355232.98860110977,0.0,13.91099280851977,13.74365033424736,14.943664804017871
1000000,3,1,1,13.815511557963774,1000000.0,471780.70203466876,0.0,14.053404235564333,13.761359647409968,13.961012994652792
1200000,2,0,0,13.997832948091215,2000000.0,895390.6211295603,-0.8934647975101389,14.681970503791204,14.830809391644584,13.961012994652792
750000,2,0,1,13.527829818844937,550000.0,251382.4283490744,0.795600556942175,13.746275127888024,13.74365033424736,13.961348273931726
3000000,3,0,1,14.914123179965662,1600000.0,1237311.287693152,1.1314856769876929,14.61811118979766,13.73828354933841,13.924388598525375
400000,3,0,1,12.899222326086994,400000.0,87579.9754558103,0.0,13.025982961987951,13.74365033424736,13.961348273931726
1200000,2,0,0,13.997832948091215,2050000.0,602376.2469230861,-1.4110782162174658,14.681970503791204,14.830809391644584,14.951043360172223
700000,2,0,0,13.45883704259595,600000.0,163816.95331828375,0.6104374301584506,13.965798980565037,13.73828354933841,13.924388598525375
650000,3,0,0,13.384729180332174,800000.0,896406.6669840576,-0.1673347661554906,13.965798980565037,13.73828354933841,13.924388598525375
450000,2,0,0,13.017005083966255,250000.0,871957.4409978761,0.2293689927929489,13.025982961987951,13.74365033424736,13.961348273931726
2500000,3,0,0,14.731801689838349,2100000.0,388267.4773747193,1.0302176291061267,14.053404235564333,13.761359647409968,14.951043360172223
500000,2,0,1,13.122365377402328,550000.0,251382.4283490744,-0.19890013923554375,13.733114875656495,13.75503204010579,13.959739575628085
700000,2,0,0,13.45883704259595,600000.0,107763.18121606496,0.9279607271383369,13.44081039592249,13.761359647409968,13.961012994652792
16000000,3,1,0,16.588099342704055,7500000.0,5588541.634109451,1.5209692539678998,15.720447023514227,14.840092247661994,13.942958244723336
450000,2,0,0,13.017005083966255,500000.0,143676.22330384783,-0.3480046931235068,13.643104394471553,13.761359647409968,13.961012994652792
480000,2,0,0,13.081543466215237,500000.0,143676.22330384783,-0.13920187724940272,13.532911560539826,13.73828354933841,13.924388598525375
550000,3,0,0,13.217675375388819,800000.0,1032393.6812581456,-0.2421556858962299,13.570249110865381,13.74365033424736,13.961348273931726
7500000,4,0,1,15.830413711839864,1500000.0,1119925.9949810226,5.357496858622048,13.76931167987375,14.840092247661994,14.948043428904779
2000000,2,0,0,14.508658238524095,2000000.0,895390.6211295603,0.0,14.649561465492654,14.814728592296849,13.924388598525375
800000,3,1,0,13.592368256649284,525000.0,183711.73070873835,1.4969103983674978,13.402020237829253,13.73828354933841,13.924388598525375
